,layer,module_name,module_type,example_idx,example_str,act_idx,act_type,token_idx,token_str,value,grad,ie,abs_ie,node_abs_ie_x,node_abs_ie_y
47,3,blocks.3.hook_resid_pre,resid,0,"When John and Mary went to the shops, John gave the bag to Mary",14378,feature,4, Mary,2.401691436767578,-0.0001376057625748217,-0.04411041736602783,0.04411041736602783,0.04411041736602783,0.04411041736602783
48,3,blocks.3.hook_resid_pre,resid,0,"When John and Mary went to the shops, John gave the bag to Mary",17688,feature,4, Mary,10.77293586730957,0.000476645102025941,-0.09811779111623764,0.09811779111623764,0.09811779111623764,0.09811779111623764
49,3,blocks.3.hook_resid_pre,resid,0,"When John and Mary went to the shops, John gave the bag to Mary",20380,feature,4, Mary,2.6120405197143555,-0.000435834052041173,-0.0439530685544014,0.0439530685544014,0.0439530685544014,0.0439530685544014
50,3,blocks.3.hook_resid_pre,resid,0,"When John and Mary went to the shops, John gave the bag to Mary",1899,feature,7, the,16.37244415283203,-0.0004233979561831802,-0.05676868557929993,0.05676868557929993,0.05676868557929993,0.05676868557929993
51,3,blocks.3.hook_resid_pre,resid,0,"When John and Mary went to the shops, John gave the bag to Mary",20829,feature,9,",",13.392757415771484,-0.0005491721676662564,-0.041781917214393616,0.041781917214393616,0.041781917214393616,0.041781917214393616
52,3,blocks.3.hook_resid_pre,resid,0,"When John and Mary went to the shops, John gave the bag to Mary",3774,feature,10, John,32.989463806152344,0.00040067019290290773,-0.06547203660011292,0.06547203660011292,0.06547203660011292,0.06547203660011292
53,3,blocks.3.hook_resid_pre,resid,0,"When John and Mary went to the shops, John gave the bag to Mary",10564,feature,10, John,4.286156177520752,0.00014705731882713735,0.055022113025188446,0.055022113025188446,0.055022113025188446,0.055022113025188446
54,3,blocks.3.hook_resid_pre,resid,0,"When John and Mary went to the shops, John gave the bag to Mary",13879,feature,10, John,5.581787109375,-0.0008722330094315112,0.05934518948197365,0.05934518948197365,0.05934518948197365,0.05934518948197365
55,3,blocks.3.hook_resid_pre,resid,0,"When John and Mary went to the shops, John gave the bag to Mary",10564,feature,11, gave,3.9152169227600098,-2.857534127542749e-06,-0.045075658708810806,0.045075658708810806,0.045075658708810806,0.045075658708810806
56,3,blocks.3.hook_resid_pre,resid,0,"When John and Mary went to the shops, John gave the bag to Mary",1899,feature,12, the,10.583714485168457,-0.0007050067069940269,0.034169573336839676,0.034169573336839676,0.034169573336839676,0.034169573336839676
57,3,blocks.3.hook_resid_pre,resid,0,"When John and Mary went to the shops, John gave the bag to Mary",3646,feature,13, bag,4.856241703033447,0.00019937340402975678,0.03550294414162636,0.03550294414162636,0.03550294414162636,0.03550294414162636
58,3,blocks.3.hook_resid_pre,resid,0,"When John and Mary went to the shops, John gave the bag to Mary",17963,feature,13, bag,4.953307628631592,0.00014745170483365655,0.0660114511847496,0.0660114511847496,0.0660114511847496,0.0660114511847496
